area_name,year,value,income_rank
"Wake County",2021,95700,1
"Franklin County",2021,95700,1
"Johnston County",2021,95700,1
"Chatham County",2021,86400,2
"Durham County",2021,86400,2
"Orange County",2021,86400,2
"Currituck County",2021,84500,3
"Gaston County",2021,84200,4
"Cabarrus County",2021,84200,4
"Union County",2021,84200,4
"Mecklenburg County",2021,84200,4
"Lincoln County",2021,77700,5
"Brunswick County",2021,76900,6
"Moore County",2021,76500,7
"New Hanover County",2021,76200,8
"Madison County",2021,75500,9
"Buncombe County",2021,75500,9
"Henderson County",2021,75500,9
"Camden County",2021,75300,10
"Dare County",2021,72200,11
"Watauga County",2021,71400,12
"Carteret County",2021,71200,13
"Pender County",2021,70100,14
"Iredell County",2021,69700,15
"Surry County",2021,69500,16
"Yadkin County",2021,68900,17
"Davie County",2021,68900,17
"Stokes County",2021,68900,17
"Forsyth County",2021,68900,17
"Granville County",2021,68600,18
"Alamance County",2021,68100,19
"Randolph County",2021,66700,20
"Guilford County",2021,66700,20
"Person County",2021,65600,21
"Haywood County",2021,65600,21
"Pasquotank County",2021,64500,22
"Wilson County",2021,64300,23
"Gates County",2021,64300,23
"Craven County",2021,63800,24
"Harnett County",2021,63000,25
"Rowan County",2021,62300,26
"Stanly County",2021,62200,27
"Nash County",2021,62100,28
"Polk County",2021,62100,28
"Caswell County",2021,62100,28
"Edgecombe County",2021,62100,28
"Jackson County",2021,61500,29
"Lee County",2021,61000,30
"Pamlico County",2021,60800,31
"Burke County",2021,60300,32
"Alexander County",2021,60300,32
"Catawba County",2021,60300,32
"Caldwell County",2021,60300,32
"Beaufort County",2021,60200,33
"Cumberland County",2021,59600,34
"Pitt County",2021,59400,35
"Onslow County",2021,59400,35
"Mitchell County",2021,59200,36
"Transylvania County",2021,59100,37
"Macon County",2021,57500,38
"Davidson County",2021,57500,38
"Perquimans County",2021,56400,39
"Wilkes County",2021,56400,39
"Hoke County",2021,56300,40
"Ashe County",2021,55600,41
"Montgomery County",2021,55600,41
"Rockingham County",2021,55000,42
"Cleveland County",2021,54800,43
"Yancey County",2021,54600,44
"Cherokee County",2021,54300,45
"Greene County",2021,54200,46
"Warren County",2021,53300,47
"Jones County",2021,52900,48
"Chowan County",2021,52800,49
"McDowell County",2021,52100,50
"Tyrrell County",2021,52100,50
"Anson County",2021,51400,51
"Sampson County",2021,51400,51
"Duplin County",2021,50500,52
"Wayne County",2021,50500,52
"Avery County",2021,50400,53
"Vance County",2021,50400,53
"Graham County",2021,50200,54
"Lenoir County",2021,50000,55
"Martin County",2021,49900,56
"Hyde County",2021,49700,57
"Washington County",2021,49500,58
"Columbus County",2021,49000,59
"Clay County",2021,49000,59
"Bertie County",2021,48600,60
"Rutherford County",2021,48400,61
"Scotland County",2021,47900,62
"Swain County",2021,47700,63
"Hertford County",2021,47200,64
"Alleghany County",2021,46300,65
"Richmond County",2021,45800,66
"Halifax County",2021,45300,67
"Northampton County",2021,45100,68
"Bladen County",2021,45000,69
"Robeson County",2021,44400,70
